YEAR,ROUND,RANK,TEAM,MP,W,D,L,GF,GA,GD,Last 5,CS,BTTS,FTS,Over 1.5+,Over 2.5+,AVG,VIEW,RANK_S,TEAM_DS,GOALS,SHOTS,"DISCIPLINE(Y,R/10)",POSSESSION,PASS%,AW,RATING
2016/17,8th Finals,14,FC Porto    ,2,0,0,2,0,3,-3,LL,40%,30%,40%,60%,30%,2.0,OVERALL,14,Manchester City,18,13.1,142.0,54.8,85.8,11.6,6.88
2016/17,8th Finals,15,SSC Napoli    ,2,0,0,2,2,6,-4,LL,13%,88%,13%,88%,75%,3.38,OVERALL,15,Monaco  ,22,12.2,280.0,46.4,78.9,15.0,6.88
2016/17,8th Finals,16,Arsenal FC    ,2,0,0,2,2,10,-8,LL,25%,75%,0%,100%,75%,4.5,OVERALL,16,FC Porto,9,13.3,152.0,49.9,81.9,17.8,6.83
2016/17,Quarter Finals,1,AS Monaco FC  ,2,2,0,0,6,3,3,WW,13%,75%,13%,94%,75%,3.31,OVERALL,17,Leicester  ,11,10.7,190.0,42.2,71.0,19.5,6.8
2016/17,Quarter Finals,2,Real Madrid CF  ,2,2,0,0,6,3,3,WW,8%,92%,0%,100%,100%,4.15,OVERALL,18,Benfica  ,11,11.1,130.0,45.8,79.6,9.4,6.72
2016/17,Quarter Finals,3,Juventus FC    ,2,1,1,0,3,0,3,WD,69%,31%,15%,69%,38%,2.23,OVERALL,19,FC Rostov,6,5.5,100.0,37.2,65.5,19.0,6.67
2016/17,Quarter Finals,4,Club Atlético de Madrid,2,1,1,0,2,1,1,WD,50%,33%,25%,50%,33%,2.0,OVERALL,20,PSV Eindhoven,4,9.3,60.0,44.7,80.1,20.7,6.66
2016/17,Quarter Finals,5,Leicester City FC  ,2,0,1,1,1,2,-1,LD,50%,30%,30%,60%,40%,2.1,OVERALL,21,Napoli  ,13,13.5,100.0,52.4,85.5,11.0,6.62
2016/17,Quarter Finals,6,FC Barcelona    ,2,0,1,1,0,3,-3,LD,50%,30%,30%,90%,80%,3.8,OVERALL,22,Dynamo Kyiv,8,11.2,131.0,50.5,83.5,9.2,6.62
2016/17,Quarter Finals,7,FC Bayern München  ,2,0,0,2,3,6,-3,LL,20%,70%,10%,80%,80%,4.1,OVERALL,23,Borussia M.Gladbach,5,9.5,82.0,41.4,79.4,8.3,6.61
2016/17,Quarter Finals,8,BVB 09 Borussia Dortmund,2,0,0,2,3,6,-3,LL,30%,60%,10%,80%,80%,4.4,OVERALL,24,Sporting CP,5,12.0,142.0,48.9,82.5,17.3,6.61
2016/17,Semi-Finals,1,Juventus FC    ,2,2,0,0,4,1,3,WW,69%,31%,15%,69%,38%,2.23,OVERALL,25,CSKA Moscow,5,8.3,70.0,41.2,72.5,15.7,6.61
2016/17,Semi-Finals,2,Real Madrid CF  ,2,1,0,1,4,2,2,WL,8%,92%,0%,100%,100%,4.15,OVERALL,26,Besiktas  ,9,9.3,132.0,49.2,81.8,12.7,6.56
2016/17,Semi-Finals,3,Club Atlético de Madrid,2,1,0,1,2,4,-2,LW,50%,33%,25%,50%,33%,2.0,OVERALL,27,Ludogorets Razgrad,6,6.5,90.0,46.3,83.9,8.5,6.55
2016/17,Semi-Finals,4,AS Monaco FC  ,2,0,0,2,1,4,-3,LL,13%,75%,13%,94%,75%,3.31,OVERALL,28,Celtic  ,5,9.0,80.0,44.8,82.8,9.5,6.49
2016/17,Final,1,Real Madrid CF  ,1,1,0,0,4,1,3,W,8%,92%,0%,100%,100%,4.15,OVERALL,29,Club Bruges,2,8.5,140.0,48.9,78.8,20.7,6.47
2016/17,Final,2,Juventus FC    ,1,0,0,1,1,4,-3,L,69%,31%,15%,69%,38%,2.23,OVERALL,30,FC Basel,1893,3.0,10.3,111.0,42.6,80.4,9.3
